"VPNID","NumberOfLanguages","InputPortugueseSchool","PortugueseFather","PortugueseMother","PortugueseParents","EducationFather","EducationMother","EducationParents","LanguageGroup","BilingualControl","RegionalLanguage","Time","Result"
"Y_PNF_15",3,20,6,5,11,5,3,8,"Bilingual group (French)","bilingual","French","T2",NA
"Y_PNF_15",3,20,6,5,11,5,3,8,"Bilingual group (French)","bilingual","French","T3",9
"Y_PNF_16",2,50,6,6,12,1,4,5,"Bilingual group (French)","bilingual","French","T1",7
"Y_PNF_16",2,50,6,6,12,1,4,5,"Bilingual group (French)","bilingual","French","T2",12
"Y_PNF_16",2,50,6,6,12,1,4,5,"Bilingual group (French)","bilingual","French","T3",3
"Y_PNF_17",2,50,6,6,12,1,2,3,"Bilingual group (French)","bilingual","French","T1",9
"Y_PNF_17",2,50,6,6,12,1,2,3,"Bilingual group (French)","bilingual","French","T2",8
"Y_PNF_17",2,50,6,6,12,1,2,3,"Bilingual group (French)","bilingual","French","T3",12
"Y_PNF_19",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T1",6
"Y_PNF_19",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T2",9
"Y_PNF_19",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T3",NA
"Y_PNF_20",2,50,6,6,12,3,5,8,"Bilingual group (French)","bilingual","French","T1",9
"Y_PNF_20",2,50,6,6,12,3,5,8,"Bilingual group (French)","bilingual","French","T2",11
"Y_PNF_20",2,50,6,6,12,3,5,8,"Bilingual group (French)","bilingual","French","T3",8
"Y_PNF_21",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T1",6
"Y_PNF_21",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T2",NA
"Y_PNF_21",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T3",NA
"Y_PNF_22",2,20,6,6,12,3,1,4,"Bilingual group (French)","bilingual","French","T1",5
"Y_PNF_22",2,20,6,6,12,3,1,4,"Bilingual group (French)","bilingual","French","T2",NA
"Y_PNF_22",2,20,6,6,12,3,1,4,"Bilingual group (French)","bilingual","French","T3",7
"Y_PNF_23",2,100,5,6,11,3,5,8,"Bilingual group (French)","bilingual","French","T1",10
"Y_PNF_23",2,100,5,6,11,3,5,8,"Bilingual group (French)","bilingual","French","T2",NA
"Y_PNF_23",2,100,5,6,11,3,5,8,"Bilingual group (French)","bilingual","French","T3",11
"Y_PNF_24",2,70,6,6,12,5,4,9,"Bilingual group (French)","bilingual","French","T1",10
"Y_PNF_24",2,70,6,6,12,5,4,9,"Bilingual group (French)","bilingual","French","T2",8
"Y_PNF_24",2,70,6,6,12,5,4,9,"Bilingual group (French)","bilingual","French","T3",11
"Y_PNF_25",2,10,6,6,12,4,4,8,"Bilingual group (French)","bilingual","French","T1",7
"Y_PNF_25",2,10,6,6,12,4,4,8,"Bilingual group (French)","bilingual","French","T2",8
"Y_PNF_25",2,10,6,6,12,4,4,8,"Bilingual group (French)","bilingual","French","T3",10
"Y_PNF_26",2,60,6,6,12,2,3,5,"Bilingual group (French)","bilingual","French","T1",6
"Y_PNF_26",2,60,6,6,12,2,3,5,"Bilingual group (French)","bilingual","French","T2",10
"Y_PNF_26",2,60,6,6,12,2,3,5,"Bilingual group (French)","bilingual","French","T3",12
"Y_PNF_27",2,60,6,6,12,2,3,5,"Bilingual group (French)","bilingual","French","T1",7
"Y_PNF_27",2,60,6,6,12,2,3,5,"Bilingual group (French)","bilingual","French","T2",7
"Y_PNF_27",2,60,6,6,12,2,3,5,"Bilingual group (French)","bilingual","French","T3",NA
"Y_PNF_28",2,70,6,6,12,2,5,7,"Bilingual group (French)","bilingual","French","T1",10
"Y_PNF_28",2,70,6,6,12,2,5,7,"Bilingual group (French)","bilingual","French","T2",7
"Y_PNF_28",2,70,6,6,12,2,5,7,"Bilingual group (French)","bilingual","French","T3",9
"Y_PNF_30",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T1",5
"Y_PNF_30",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T2",NA
"Y_PNF_30",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T3",NA
"Y_PNF_33",4,80,6,6,12,2,2,4,"Bilingual group (French)","bilingual","French","T1",13
"Y_PNF_33",4,80,6,6,12,2,2,4,"Bilingual group (French)","bilingual","French","T2",12
"Y_PNF_33",4,80,6,6,12,2,2,4,"Bilingual group (French)","bilingual","French","T3",12
"Y_PNF_34",2,50,6,6,12,4,0,4,"Bilingual group (French)","bilingual","French","T1",6
"Y_PNF_34",2,50,6,6,12,4,0,4,"Bilingual group (French)","bilingual","French","T2",7
"Y_PNF_34",2,50,6,6,12,4,0,4,"Bilingual group (French)","bilingual","French","T3",7
"Z_PLF_2",2,50,6,6,12,2,2,4,"Bilingual group (French)","bilingual","French","T1",6
"Z_PLF_2",2,50,6,6,12,2,2,4,"Bilingual group (French)","bilingual","French","T2",7
"Z_PLF_2",2,50,6,6,12,2,2,4,"Bilingual group (French)","bilingual","French","T3",12
"Z_PLF_3",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T1",4
"Z_PLF_3",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T2",5
"Z_PLF_3",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T3",12
"Z_PLF_4",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T1",4
"Z_PLF_4",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T2",8
"Z_PLF_4",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (French)","bilingual","French","T3",10
"AB_PLD_1",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (German)","bilingual","German","T1",8
"AB_PLD_1",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (German)","bilingual","German","T2",NA
"AB_PLD_1",NA,NA,NA,NA,NA,NA,NA,NA,"Bilingual group (German)","bilingual","German","T3",8
"AB_PLD_2",2,75,6,6,12,2,2,4,"Bilingual group (German)","bilingual","German","T1",11
"AB_PLD_2",2,75,6,6,12,2,2,4,"Bilingual group (German)","bilingual","German","T2",15
"AB_PLD_2",2,75,6,6,12,2,2,4,"Bilingual group (German)","bilingual","German","T3",15
