Participant,Construction,Accent,Speaker,Item,Correct
S152,DO,None,Idan,17,FALSE
S152,DO,None,Idan,13,TRUE
S152,PO,None,Idan,14,TRUE
S152,DO,None,Idan,15,TRUE
S152,PO,None,Idan,12,TRUE
S152,PO,None,Idan,3,FALSE
S152,DO,None,Idan,20,FALSE
S152,DO,None,Idan,6,FALSE
S152,PO,None,Idan,5,FALSE
S152,DO,None,Idan,1,FALSE
S152,DO,None,Idan,19,FALSE
S152,DO,None,Idan,11,FALSE
S152,PO,None,Idan,18,FALSE
S152,PO,None,Idan,10,TRUE
S152,PO,None,Idan,16,FALSE
S152,PO,None,Idan,9,TRUE
S154,PO,Accent,Idan,15,TRUE
S154,DO,Accent,Idan,12,TRUE
S154,PO,Accent,Idan,11,TRUE
S154,DO,Accent,Idan,7,TRUE
S154,DO,Accent,Idan,5,FALSE
S154,PO,Accent,Idan,6,TRUE
S154,DO,Accent,Idan,9,TRUE
S154,PO,Accent,Idan,8,FALSE
S154,DO,Accent,Idan,14,TRUE
S154,PO,Accent,Idan,17,TRUE
S154,PO,Accent,Idan,19,TRUE
S154,DO,Accent,Idan,2,TRUE
S154,PO,Accent,Idan,13,TRUE
S154,DO,Accent,Idan,16,TRUE
S154,PO,Accent,Idan,4,TRUE
S154,PO,Accent,Idan,1,TRUE
S154,DO,Accent,Idan,3,TRUE
S154,DO,Accent,Idan,18,FALSE
S158,DO,Accent,Nezar,17,FALSE
S158,PO,Accent,Nezar,7,TRUE
S158,PO,Accent,Nezar,9,TRUE
S158,PO,Accent,Nezar,2,TRUE
S158,DO,Accent,Nezar,19,TRUE
S158,DO,Accent,Nezar,1,TRUE
S158,DO,Accent,Nezar,6,TRUE
S158,DO,Accent,Nezar,15,TRUE
S158,PO,Accent,Nezar,10,TRUE
S158,DO,Accent,Nezar,11,FALSE
S158,PO,Accent,Nezar,14,TRUE
S158,DO,Accent,Nezar,13,FALSE
S158,DO,Accent,Nezar,20,TRUE
S158,PO,Accent,Nezar,12,TRUE
S158,PO,Accent,Nezar,5,TRUE
S158,DO,Accent,Nezar,4,TRUE
S158,PO,Accent,Nezar,18,FALSE
S158,PO,Accent,Nezar,3,TRUE
S164,DO,None,Idan,1,FALSE
S164,DO,None,Idan,11,FALSE
S164,PO,None,Idan,7,FALSE
S164,PO,None,Idan,12,TRUE
S164,PO,None,Idan,2,FALSE
S164,PO,None,Idan,16,TRUE
S164,DO,None,Idan,20,FALSE
S164,DO,None,Idan,13,FALSE
S164,DO,None,Idan,17,FALSE
S164,PO,None,Idan,18,FALSE
S164,PO,None,Idan,5,TRUE
S164,DO,None,Idan,19,FALSE
S164,PO,None,Idan,10,FALSE
S164,DO,None,Idan,6,FALSE
S164,DO,None,Idan,4,FALSE
S164,PO,None,Idan,14,FALSE
S164,DO,None,Idan,15,FALSE
S164,PO,None,Idan,9,FALSE
S164,PO,None,Idan,3,TRUE
S165,DO,None,Idan,16,FALSE
S165,DO,None,Idan,14,FALSE
S165,PO,None,Idan,20,TRUE
S165,PO,None,Idan,4,TRUE
S165,PO,None,Idan,13,TRUE
S165,DO,None,Idan,7,FALSE
S165,DO,None,Idan,2,FALSE
S165,PO,None,Idan,8,TRUE
S165,PO,None,Idan,15,FALSE
S165,DO,None,Idan,3,FALSE
S165,PO,None,Idan,19,TRUE
S165,PO,None,Idan,17,TRUE
S165,DO,None,Idan,12,FALSE
S165,PO,None,Idan,11,TRUE
S165,DO,None,Idan,9,FALSE
S165,DO,None,Idan,10,FALSE
S165,DO,None,Idan,18,FALSE
S166,DO,Accent,Idan,3,FALSE
S166,DO,Accent,Idan,12,FALSE
S166,PO,Accent,Idan,17,FALSE
S166,PO,Accent,Idan,13,FALSE
S166,DO,Accent,Idan,14,FALSE
S166,PO,Accent,Idan,19,FALSE
S166,DO,Accent,Idan,16,FALSE
S166,PO,Accent,Idan,1,FALSE
S166,DO,Accent,Idan,9,FALSE
